日期,代码,指数名称,eps预期上调,eps预期上调_季线,eps预期上调_年线,pb偏度,pb偏度_季线,pb偏度_年线,pb峰度,pb峰度_季线,pb峰度_年线,上涨下跌ATR差,上涨下跌ATR差_季线,上涨下跌ATR差_年线,上涨下跌量差,上涨下跌量差_季线,上涨下跌量差_年线,下行协偏度,下行协偏度_季线,下行协偏度_年线,主线一致程度,主线一致程度_季线,主线一致程度_年线,历史估值,历史估值_季线,历史估值_年线,季价格扩散系数,季价格扩散系数_季线,季价格扩散系数_年线,季换手扩散系数,季换手扩散系数_季线,季换手扩散系数_年线,小市值换手因子,小市值换手因子_季线,小市值换手因子_年线,年价格扩散系数,年价格扩散系数_季线,年价格扩散系数_年线,年换手扩散系数,年换手扩散系数_季线,年换手扩散系数_年线,情绪熵,情绪熵_季线,情绪熵_年线,技术得分,指数筹码盈利,指数筹码盈利_季线,指数筹码盈利_年线,收盘价,放量因子,放量因子_季线,放量因子_年线,月价格扩散系数,月价格扩散系数_季线,月价格扩散系数_年线,月换手扩散系数,月换手扩散系数_季线,月换手扩散系数_年线,机构主动净买入,机构主动净买入_季线,机构主动净买入_年线,真实波动率,真实波动率_季线,真实波动率_年线,筹码乖离率,筹码乖离率_季线,筹码乖离率_年线,筹码分散程度,筹码分散程度_季线,筹码分散程度_年线,筹码峰支撑,筹码峰支撑_季线,筹码峰支撑_年线,筹码盈利中枢,筹码盈利中枢_季线,筹码盈利中枢_年线,融资余额因子,融资余额因子_季线,融资余额因子_年线,融资成交占比,融资成交占比_季线,融资成交占比_年线,资金分歧度因子,资金分歧度因子_季线,资金分歧度因子_年线,资金流因子,资金流因子_季线,资金流因子_年线,远期估值,远期估值_季线,远期估值_年线,阻力筹码中枢,阻力筹码中枢_季线,阻力筹码中枢_年线,预期差,预期差_季线,预期差_年线
2026-08-17,000985.CSI,中证全指,-1.1698174223317122,-2.285030864500381,-0.8131875893283657,1.1659787972699944,-0.46097459679603286,0.21675455542966243,1.065981382242938,-0.4850659951105828,0.33667004790348104,0.46514594542244403,1.259287458638907,3.3576671139600602,1.2166980489137253,0.6937013855887293,1.4857880411424722,-1.5453747849215684,-0.5574902910607582,-0.5090239825991828,0.8202982992140414,0.42148643440867684,0.28341666307982505,1.21645347363858,-0.027508784100261474,-1.2645227755954869,1.939376894301535,0.5932716237804633,-1.1080234068919268,-0.4871837389983963,-1.1818654384981406,-0.7670051708449628,-1.6264552199698732,-1.8258912784893235,-1.0028317885619336,1.1269247203336998,-0.7094044845217375,-2.0540660070406798,-0.9571169315849106,-1.7766570215398214,-1.0100443833820596,-1.5428386485715841,-1.6702332601910035,-0.12063972201364365,1.7705802293764112,1.557621725367376,-0.15408535668290976,-0.5489162700538297,6112.6986,-1.0044208029476143,1.496210131762223,2.1644139780049785,1.4898049238507345,2.607098233608197,1.7055256884926013,-0.7294145743766653,-1.0011285232681715,-0.6494011183714966,-0.7443317286457616,-1.5589315273678843,-1.9540723991213453,-1.2218390164096633,-1.8774308856601039,-2.2258900928126253,1.8715010467345663,-0.3290478144427765,-0.24960404758322352,-0.6260988797923982,0.8917803700100614,2.363017969216605,0.1291406016188501,-0.6550903486591964,-0.8728726340484796,1.3179209506522653,1.74713917081589,0.7051729559559281,0.16538525504463367,-0.33762533548212387,0.39918299138795144,0.9161886675753748,-0.4724388555951382,-1.230150806697496,-0.3865323207934158,1.240026429373357,1.9366705691706465,-0.101019748377767,-1.5906694640129277,-2.12532695262475,1.3414118566660114,0.19669922394805622,0.21592110682975155,-0.8797343818068104,-0.7219590234617452,-1.0155206067682752,-1.0288958745378207,-1.4577753005585738,-1.931428697160496
2026-08-14,000985.CSI,中证全指,-1.2642669955927563,-2.411077241509341,-0.6872316786300874,0.9843153127382965,-0.5480838553712635,0.1034220899622894,0.8661399702033894,-0.576081657795777,0.2237226237254357,0.9624741656805361,1.8326661722045887,3.387549980359406,0.9487389139573517,0.47412818795697975,1.3972410513925353,-0.9775844025772347,-0.13070344338791842,-0.46260754331790155,0.518272531968561,0.05339730444065824,0.11446334217598472,1.0058546113319324,-0.162221190184715,-1.4958645905564287,2.091101394586708,0.43906663120241074,-1.2009071308587393,-0.3323842048389637,-1.0802709978965517,-0.7495184492831352,-1.552350714319442,-1.6534762890066146,-0.9819860591834569,1.122884220660337,-0.7280214473417917,-2.1013667801278517,-0.897194036664561,-1.7195745338898922,-1.0052745506219132,-1.5484779852256139,-1.546901142853593,0.011508696446243152,1.6551413171859437,1.6219518903829553,-0.2438612740381379,-0.600282227836588,5991.019,-0.5490550146232753,1.64513130155313,2.2226488632774295,1.6583670035512625,2.8242145173371505,1.5668535374629755,-0.6215039881152409,-0.8638934092554144,-0.6080521700585465,-0.7486017072577192,-1.6335370870759283,-1.9282141171532574,-1.396883930364349,-2.014214366065288,-2.2012790630243835,1.5971404728909853,-0.4470304135344043,-0.3010224024222222,-0.5062375708477607,0.928740171120253,2.402274749838456,0.08242096436155485,-0.6573119987301528,-0.9907324492249352,1.3519728616467952,1.7804566689685866,0.6665256236335992,0.35510735284471623,-0.2965662122875995,0.3073447865009809,1.7041942175973834,-0.05094403919240925,-1.1798334208941728,0.1576519963836117,1.5423901530748605,1.9072408161935104,-0.33227195310980884,-1.6887503066859324,-2.142289505954081,1.1595853377731704,0.06366888833944066,-0.057451493081042276,-0.8055272583009383,-0.6197994242279408,-0.9890490080193999,-0.9900221074988228,-1.4678250970027005,-1.9458088181907862
2026-08-13,000985.CSI,中证全指,-1.3740592258116573,-2.557798281879117,-0.5657002226785772,0.8292605821859002,-0.5910226365022014,0.015291105323294463,0.703101339796283,-0.6213614953149831,0.13933082051884577,1.369974445861489,2.29267337114958,3.2872865874268777,0.7092114584504148,0.3186269325655202,1.2445212743844318,-0.44279520081638507,0.23908176519765356,-0.38578518777404197,0.39683129245842175,-0.1500147247797894,-0.21324954058937104,0.7772990730445961,-0.2782921379149841,-1.7099266657490284,2.1276165285097504,0.26614669011978853,-1.276980587519192,-0.15667104312546765,-0.9586640960669328,-0.6823069984825394,-1.6266677896985038,-1.5741265642870896,-0.973219961267398,1.0452087400773782,-0.7520615415882214,-2.1505884480719906,-0.8091599190558021,-1.6367605931616747,-0.9449766022722177,-1.4873287115876697,-1.3215394979598165,0.16780206502830397,1.9842304242674924,1.7793689158176178,-0.28049293132704667,-0.6800670961885282,5973.2654,0.046647744008689096,1.8158708662055374,2.261995916484587,1.8485338433422032,3.0579927422787097,1.3929257776603332,-0.43215813700896133,-0.6382973343585072,-0.47919615785588265,-0.8072138179319168,-1.678679424956501,-1.8935437517955498,-1.5782300836589371,-2.1465288734242427,-2.112161377605478,1.3527361630769874,-0.36230648435843066,-0.3769554433409144,-0.3397913318314879,0.9732417702739774,2.4578501939948323,0.028297212181212672,-0.6910004310751139,-1.183524061988194,1.4830186721119891,1.8641102740709619,0.6141459125726914,0.5461607445322936,-0.234286376670641,0.2518400294157839,1.7440551448399693,-0.11515008960484796,-1.3132773232720916,0.5402959072337886,1.8011497519618298,1.869104253942032,-0.5034630223090905,-1.7519842369708536,-2.140744183371889,0.9296614103252301,-0.07267254303546175,-0.31778593964025315,-0.5859559812793036,-0.5214209624897578,-0.9752481670487392,-0.7158353497211535,-1.4356387643758723,-1.9544785374225098
2026-08-12,000985.CSI,中证全指,-1.6127554750701267,-2.892824245584654,-0.4572658178435415,0.6124721751328346,-0.6878727925173564,-0.08686469651643566,0.4884796769385028,-0.7228571865554769,0.041363100708584705,1.8020892846107337,2.7548038827934374,3.1581387739537163,0.5776462823490086,0.26824275027621675,1.0968519682264997,0.10113875591297986,0.5554200070241236,-0.3166726893668069,-0.014084595391030075,-0.5689087918686967,-0.37284834350750806,0.578108717926233,-0.39583982618376506,-1.9231290625159614,2.0408287601726243,0.06065845216004208,-1.3607959918439398,-0.19742898011521598,-1.0039846993424177,-0.674374860281743,-1.5013089399955355,-1.4541742368051287,-0.9623298122053958,0.8979740074449432,-0.7952188044211037,-2.215042713366374,-0.8631889417913423,-1.6860800864504992,-0.923981328694532,-1.5071231492600314,-1.201529173777753,0.31892086385710094,2.0319292958808277,1.8173300326183714,-0.31863600539500525,-0.7943385546139191,6024.0456,0.6317027770282138,1.9760483530227788,2.276595064833664,1.9942744008905644,3.2223122014206456,1.1537432705081239,-0.4295471743871751,-0.6306301772144214,-0.4193478897024404,-0.9682216666061718,-1.7429636672641955,-1.848230429792048,-1.873899756977416,-2.342634372712479,-2.0114203548631426,1.1696067993189343,-0.4886729354613095,-0.48011091400711514,-0.25192227290329267,0.9979738547732238,2.5149504817497923,0.008570769238489699,-0.6892745977569792,-1.3328536167351213,1.5844878933859294,1.941345688099966,0.549925530893752,0.3245126552223884,-0.40907423015376615,0.15366606869210123,1.6884237236354769,-0.2129614900510622,-1.4819393321813137,0.9669666218859909,2.096002472270497,1.8141766860578894,-0.7629435857675337,-1.8552959421066997,-2.1221017368202304,0.6940628813346418,-0.2364577732138902,-0.5721827203137704,-0.663887420797423,-0.5600224187561704,-0.933093311690373,-0.66401210663366,-1.4317323482603532,-1.9713028516517879
2026-08-11,000985.CSI,中证全指,-1.9624662895817049,-3.386245948925309,-0.35670177216521526,0.34681981539827145,-0.8320808151489814,-0.16047889556328526,0.22895224511224244,-0.875320708431353,-0.025865927853415294,2.157966044494775,3.0827576321814902,2.9198689924052967,0.4204648083107305,0.17430858445168923,0.9734248816986479,0.34125963705516127,0.6732391701230966,-0.28441591519330267,0.08300993560052808,-0.370310153600081,-0.5244875304313119,0.34612261489873064,-0.5649347156985398,-2.157330605245188,1.7661352932326304,-0.2216436884529109,-1.4588390277821701,0.0018715940502959036,-0.8666077193623287,-0.6242940764498741,-1.5262266777208402,-1.4011307243107352,-0.9520861104953415,0.6528573863243208,-0.8668634520469634,-2.275720679098729,-0.7323511882124367,-1.571414498574042,-0.861602751907837,-1.387138558444009,-0.9496078382261456,0.4805670438247138,2.0171795533623578,1.7102666831408904,-0.41614362811266253,-0.9409905836209127,5966.5851,0.9201444015916032,2.083452428179597,2.2680541059014625,2.1455198179325485,3.356025354004575,0.9021951905612868,-0.2050513603599986,-0.3954623328180108,-0.32134523647514135,-1.1240106168838055,-1.8135377068622571,-1.806422924241274,-2.0642477422671712,-2.4131898531112483,-1.8294479754461832,0.8970283752567714,-0.5603112693594987,-0.6077247952119168,-0.1373826004378642,1.0328465336666266,2.5941761722723764,-0.07162408377968711,-0.743645661784125,-1.5879296007988906,1.5598439961873827,1.9430276176054755,0.46827520153789914,0.632015497049756,-0.22697587130543528,0.204707293166729,1.4699995633037464,-0.3679266672685425,-1.6302480899588758,1.316906105032007,2.3540114586515966,1.6726992435669379,-0.9784768261560148,-1.9570146954366527,-2.088306618544403,0.40963894486628993,-0.47202588111501276,-0.8338539997813874,-0.07757719297169058,-0.19347156037009156,-0.8666684378793564,-0.5854391519773732,-1.3499863967213805,-1.9990255257495688
2026-08-10,000985.CSI,中证全指,-2.4702603907014122,-4.088834567857436,-0.2484818907055999,0.015739751727091605,-1.070114005928287,-0.2174001821779862,-0.09058564232270461,-1.1227247214816953,-0.07553946360399545,2.241366234647435,3.1067543472791654,2.738333030352325,0.4655336333366125,0.2657183126954008,0.8584278144573896,0.5596714072484062,0.7878876479716976,-0.24993005110773236,0.1396591189332156,-0.24165972958014753,-0.4596151808796264,0.15928643975720633,-0.7098827249688462,-2.3626423844372013,1.3897390674195509,-0.47557959322316623,-1.5494554800497216,0.09913826314520688,-0.8080340702550268,-0.6737369955285918,-1.3299814500352078,-1.2876256469624097,-0.9431551691425318,0.39139909503511444,-0.9443635859720375,-2.3408806034488143,-0.7049791490257558,-1.564979779601562,-0.8650159652633589,-1.1119577099139102,-0.5713606324451311,0.5445616920629628,1.957778583550755,1.4901499637373519,-0.5270723811981174,-1.1002068940376437,6009.5336,1.1140959763957357,2.1983573306554356,2.2265950566592596,2.3143256432955885,3.4218528124261796,0.625847585240516,-0.06151215841736389,-0.2602166878462146,-0.3624974694880416,-1.3277698970920242,-1.8842672910598532,-1.7694281022601992,-2.016618184635096,-2.2977874009801846,-1.6504849849470142,0.47383021202409614,-0.6106566618713105,-0.7426930256568225,-0.03422205280109572,1.0684400864807002,2.6888610754239757,-0.16316020096061723,-0.8162952731557356,-1.8375433057374089,1.5784497178131214,1.9560764577956546,0.3892574179609115,0.6502416340950857,-0.214838753959387,0.19917001977413684,1.0040670571644346,-0.6274704340015076,-1.7502173581051663,1.397418912087072,2.366895174049953,1.5243568029667605,-1.2814190239029182,-2.0714599987113536,-2.062722900460594,0.18355941868259668,-0.6681535444954314,-1.0468305372876385,0.0969778037740942,-0.10855562031515187,-0.8423262026248244,-0.4778871076883969,-1.259223746414059,-2.0223882875699917
2026-08-07,000985.CSI,中证全指,-2.3323353265705804,-3.7907827451371965,-0.13984836131650186,-0.38352879914939614,-1.4019520283555258,-0.25189207252698853,-0.48672765563769516,-1.4751212042328037,-0.09958097100386398,1.8155051437676875,2.658189161468478,2.508514849126652,0.3867976217434793,0.22908983465949648,0.8004181018139227,0.43945020670976703,0.7373814303203543,-0.26294529437961567,0.1725505570112601,-0.14567266589356154,-0.5581635025373511,-0.15068490679741708,-1.0218150378704414,-2.550738724659511,0.8599770139239338,-0.753651172582709,-1.6397464041890824,-0.021083160751353996,-0.9107753686281805,-0.7943428406634397,-1.1597815672687042,-1.203482737016595,-0.9406462352127136,0.04126137414422281,-1.0490675964850165,-2.406091553797821,-0.8658977139596115,-1.7410873248926733,-0.9019750877174165,-0.8867028018371288,-0.3146626359130268,0.5568215328146249,2.2294052639170436,0.9233241209283186,-0.7469197788336782,-1.2622851548424305,5978.3032,1.2405359599169454,2.2833011593008576,2.15587455336669,2.4793389958309393,3.369781368648536,0.34702976016459386,-0.08463385902706902,-0.30328196006208374,-0.483782853938876,-1.2187310033259589,-1.81067346891506,-1.7584873001458265,-2.160377075563391,-2.293440958715504,-1.4809714069713498,0.06662114520924425,-0.8263917566399291,-0.8734871701767831,0.04018471063148733,1.1017194995487043,2.7912273706587456,-0.35181286078839674,-0.9993928902356939,-2.1113155534523935,1.7121585435575586,2.0213103510902686,0.3117077026837145,0.12734668624767426,-0.5444411190576517,0.19855248277666826,0.39856838209308176,-0.9525199918750598,-1.847616831695273,1.0737176174039869,2.0888557957757468,1.3577671559004425,-1.5163778235964696,-2.1352719607069544,-2.037405208922967,-0.15683329737132523,-1.0309517234132302,-1.2412644605353886,0.11629751368911695,-0.08219344929094102,-0.8144923197948724,-0.5151007263563531,-1.2879537228465907,-2.0526627225166667
2026-08-06,000985.CSI,中证全指,-2.212335228168962,-3.398842654725641,-0.035090829436080634,-0.7459646386714511,-1.7309826808329005,-0.3040659344871012,-0.8442643004106285,-1.8162706557665718,-0.14150080331405424,1.2818603277786638,2.0900547569820587,2.154351115948433,0.08598920204161402,-0.05338314652143929,0.6657950626640305,0.6691139618636448,0.8606931116451455,-0.27221207628224553,-0.23997596378449004,-0.48449147233436074,-0.38431559754539846,-0.4459035066139917,-1.3321111050041092,-2.727062746145147,0.45263602445592105,-0.9341717170021595,-1.7133703376808542,-0.00914870640638784,-0.901641251757836,-0.9157896479775024,-1.0296400644922064,-1.169297192252647,-0.9337786932465852,-0.22215010441486585,-1.1438913807896678,-2.476617343190612,-0.8260287993890307,-1.7105034621535262,-0.9410776986066482,-0.6847148919540076,-0.08760841214217464,0.5611538129470889,1.8248173908894028,0.36072566491359587,-0.9526198549337007,-1.3713021556619795,5896.3568,1.3095875474666112,2.311133870273757,2.065670351514724,2.572331461384424,3.1308140193616776,0.0505244433324243,0.027256402178106237,-0.2045281408425236,-0.6057663574744665,-1.0375297437095348,-1.7224764470873577,-1.742178790343023,-2.131444497017106,-2.1590275362877747,-1.344436734378395,-0.21574564716409877,-1.2243175889033608,-0.9596913095629807,0.15958166607249177,1.159468680975035,2.905404536479856,-0.6098088665919963,-1.253966454565496,-2.1514398013122964,1.717135529577524,1.984525225361658,0.21589871821779494,-0.3650557735653534,-0.8035362298140678,0.16051049748325416,-0.10028060102089813,-1.219807112596338,-1.9406372765307318,0.7798491255061417,1.8576056409434467,1.2648566817502513,-1.717021524345398,-2.1959480274834817,-2.0197833134942287,-0.4827527696252929,-1.3943093438316099,-1.4150735566375285,-0.08756449268757377,-0.2316703124414735,-0.8327811829141791,-0.5472309349227114,-1.3201427397593553,-2.079672264230452
2026-08-05,000985.CSI,中证全指,-2.038076160444202,-2.8102603988071824,0.1334452868834543,-1.0783228234352074,-2.0862540662102713,-0.31780490317449656,-1.1819827996784393,-2.18866689300943,-0.14573605733814735,0.6914586210974654,1.4758429014557086,1.7717075403739175,-0.31654570029643625,-0.43781665911255807,0.5537681482149294,0.8044615250793871,0.9801386228668472,-0.2845615544207707,-0.25753499853874046,-0.3358150026431639,-0.13676233505472665,-0.7406591778249554,-1.6519324828375526,-2.817839098334467,0.06271812796568674,-1.1162376631823039,-1.770380270640978,0.007426284250906037,-0.8761673704068363,-0.9817942917934934,-1.0560497929785173,-1.1450781857052594,-0.9270099826907363,-0.5132860506692002,-1.2618621421724372,-2.530160822734631,-0.7993987352802638,-1.6909788969038173,-0.9421116252693377,-0.3419151996819223,0.25913663236342643,0.6361621568002476,1.9658011295183027,-0.10421125009866894,-1.1588030386650032,-1.4477264846957918,5881.8506,1.3685521939115743,2.3001812386359877,1.954906024038073,2.480984227185286,2.673745346893045,-0.15272602881566227,0.14965783854653464,-0.0752149484687859,-0.6504315988071144,-0.6951517952537036,-1.5515266468232034,-1.733139645942899,-1.9477791636288893,-1.91916241155117,-1.206574192735358,-0.6487096494473434,-1.6386110279939348,-1.019862225242647,0.32753215038567834,1.2399959767834527,3.0286803674528393,-0.8611405742829534,-1.4865373560324364,-2.1830071609849773,1.7010470447227184,1.9088654633515998,0.12880232263713223,-0.5354341937604808,-0.9530606396393619,0.18231405874447146,-0.6381241763181525,-1.539063003614794,-2.0444907955906246,0.3667601127345422,1.5360244323700885,1.2105013352320686,-1.6389424164143582,-2.1772186123450448,-1.970900070048402,-0.7851155211988237,-1.7459991306406848,-1.4930346805851675,0.3029846022671349,-0.10911488664534526,-0.8238943841218614,-0.6209408688331698,-1.3895513208217207,-2.0989932587529747
2026-08-04,000985.CSI,中证全指,-1.7850623898279434,-2.0260211155396974,0.30219554447546354,-1.3093988402981223,-2.338192510545598,-0.31758497947921815,-1.4103742545106415,-2.4430252236870666,-0.1328037193106924,-0.012216837391863217,0.7953995206801965,1.4037814676020022,-0.6400705547837313,-0.7215163899866887,0.4621046447723727,0.910805284912926,1.0741471304799257,-0.2987197625903984,-0.7762155127229484,-0.8014118947568927,-0.01722576024489636,-1.0323030376685223,-1.9759445598508183,-2.8966975450502384,-0.2879629552892571,-1.289862803952217,-1.8235683866964298,-0.0795533761983919,-0.9282970467038252,-1.0158035926509206,-0.9255802930556285,-1.0608802112439177,-0.9090478654975391,-0.7307549575598055,-1.3463848685702084,-2.5953792835785094,-0.7918336007149338,-1.6772656031616677,-0.9127933928139566,-0.08082333056526457,0.5228710333722113,0.6973587599000541,2.291268645646282,-0.5159736258511839,-1.3326170161280118,-1.4752855965174867,5766.3306,1.4960399772731305,2.2975164080846397,1.8314892748544926,2.3635961043488978,2.146039746391649,-0.3750821567520352,0.1380331446666766,-0.07083303653584125,-0.66469013497965,-0.38412393497892566,-1.3917346147930272,-1.6935245122297338,-1.5717966188705934,-1.616945679854958,-1.1057116323688265,-0.9697507628731807,-1.932566562942864,-1.0295408131533113,0.5307634112248871,1.3507571580605462,3.1359450134935347,-1.2150583252508342,-1.8061208449336617,-2.009282911373295,1.7330702575068497,1.840923023992725,0.029369348784668972,-0.6814444163033904,-1.0399634230539936,0.23903663577153555,-0.9864031422643953,-1.7685170084894792,-2.1196569955894677,-0.27527537763936677,1.032832689096975,1.1567138396938945,-1.4403424134169198,-2.1258561290421287,-1.9180598230602335,-1.0543681147823216,-2.07021255790263,-1.5395826136835176,0.30373289611917936,-0.17469156657601217,-0.8756911200690103,-0.8947245286657128,-1.626805183321114,-2.1386512503037673
