代码,指数名称,日期,rule_id,factor,position,strategy_return,benchmark_return
000985.CSI,中证全指,2016-08-25,chip_profit_index,指数筹码盈利,0.0,0.0,0.0
000985.CSI,中证全指,2016-08-26,chip_profit_index,指数筹码盈利,0.0,0.0,0.001991349327605585
000985.CSI,中证全指,2016-08-29,chip_profit_index,指数筹码盈利,0.0,0.0,0.001500652631847288
000985.CSI,中证全指,2016-08-30,chip_profit_index,指数筹码盈利,0.0,0.0,0.000623963674681427
000985.CSI,中证全指,2016-08-31,chip_profit_index,指数筹码盈利,0.0,0.0,0.00252391839895294
000985.CSI,中证全指,2016-09-01,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.007614242459228704
000985.CSI,中证全指,2016-09-02,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.0007333740053153681
000985.CSI,中证全指,2016-09-05,chip_profit_index,指数筹码盈利,0.0,0.0,0.0036377045000353103
000985.CSI,中证全指,2016-09-06,chip_profit_index,指数筹码盈利,0.0,0.0,0.011727187911647174
000985.CSI,中证全指,2016-09-07,chip_profit_index,指数筹码盈利,0.0,-0.0,-9.512532761912773e-05
000985.CSI,中证全指,2016-09-08,chip_profit_index,指数筹码盈利,0.0,0.0,0.0022310201684470066
000985.CSI,中证全指,2016-09-09,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.006533709502026919
000985.CSI,中证全指,2016-09-12,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.02399978483403531
000985.CSI,中证全指,2016-09-13,chip_profit_index,指数筹码盈利,0.0,0.0,0.0038590935053719466
000985.CSI,中证全指,2016-09-14,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.005761654269569427
000985.CSI,中证全指,2016-09-19,chip_profit_index,指数筹码盈利,0.0,0.0,0.009662658123186674
000985.CSI,中证全指,2016-09-20,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.0007456976539462756
000985.CSI,中证全指,2016-09-21,chip_profit_index,指数筹码盈利,0.0,0.0,0.002222258664189569
000985.CSI,中证全指,2016-09-22,chip_profit_index,指数筹码盈利,0.0,0.0,0.006458677231416576
000985.CSI,中证全指,2016-09-23,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.003987479380026193
000985.CSI,中证全指,2016-09-26,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.019130596974114122
000985.CSI,中证全指,2016-09-27,chip_profit_index,指数筹码盈利,0.0,0.0,0.006650638004153997
000985.CSI,中证全指,2016-09-28,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.0020103788575139836
000985.CSI,中证全指,2016-09-29,chip_profit_index,指数筹码盈利,0.0,0.0,0.0036051750402505967
000985.CSI,中证全指,2016-09-30,chip_profit_index,指数筹码盈利,0.0,0.0,0.004093151909536408
000985.CSI,中证全指,2016-10-10,chip_profit_index,指数筹码盈利,0.0,0.0,0.01686633890953182
000985.CSI,中证全指,2016-10-11,chip_profit_index,指数筹码盈利,1.0,0.005539699928769126,0.005539699928769126
000985.CSI,中证全指,2016-10-12,chip_profit_index,指数筹码盈利,1.0,-0.0004719758505586924,-0.0004719758505586924
000985.CSI,中证全指,2016-10-13,chip_profit_index,指数筹码盈利,1.0,0.0012257957023480426,0.0012257957023480426
000985.CSI,中证全指,2016-10-14,chip_profit_index,指数筹码盈利,1.0,-0.0006041361572942661,-0.0006041361572942661
000985.CSI,中证全指,2016-10-17,chip_profit_index,指数筹码盈利,1.0,-0.008669198995002625,-0.008669198995002625
000985.CSI,中证全指,2016-10-18,chip_profit_index,指数筹码盈利,1.0,0.014313963508693073,0.014313963508693073
000985.CSI,中证全指,2016-10-19,chip_profit_index,指数筹码盈利,1.0,-0.001190999418052896,-0.001190999418052896
000985.CSI,中证全指,2016-10-20,chip_profit_index,指数筹码盈利,1.0,0.0018684460182192275,0.0018684460182192275
000985.CSI,中证全指,2016-10-21,chip_profit_index,指数筹码盈利,1.0,-0.001515832714903742,-0.001515832714903742
000985.CSI,中证全指,2016-10-24,chip_profit_index,指数筹码盈利,1.0,0.009723422406057391,0.009723422406057391
000985.CSI,中证全指,2016-10-25,chip_profit_index,指数筹码盈利,1.0,0.0025061414029536877,0.0025061414029536877
000985.CSI,中证全指,2016-10-26,chip_profit_index,指数筹码盈利,1.0,-0.003972650739427874,-0.003972650739427874
000985.CSI,中证全指,2016-10-27,chip_profit_index,指数筹码盈利,1.0,-0.0014520056699587336,-0.0014520056699587336
000985.CSI,中证全指,2016-10-28,chip_profit_index,指数筹码盈利,1.0,-0.0061873080049633655,-0.0061873080049633655
000985.CSI,中证全指,2016-10-31,chip_profit_index,指数筹码盈利,1.0,-0.0006759777754031804,-0.0006759777754031804
000985.CSI,中证全指,2016-11-01,chip_profit_index,指数筹码盈利,1.0,0.009109232318162519,0.009109232318162519
000985.CSI,中证全指,2016-11-02,chip_profit_index,指数筹码盈利,1.0,-0.006898188546742512,-0.006898188546742512
000985.CSI,中证全指,2016-11-03,chip_profit_index,指数筹码盈利,0.0,0.0,0.00745513495484218
000985.CSI,中证全指,2016-11-04,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.0029644414565319632
