代码,指数名称,rule_id,factor,category,strategy_label,open_condition,close_condition,close_reason,entry_signal_date,entry_date,exit_signal_date,exit_date,entry_signal_idx,entry_idx,exit_signal_idx,exit_idx,entry_price,exit_price,trade_return,annualized_trade_return,max_drawdown,holding_days,forced_exit
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,2016-09-30,2016-10-10,2016-11-01,2016-11-02,24,25,41,42,4837.6447,4897.7383,0.01242207804140727,0.200820086083495,-0.012240822682431207,17,False
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,2016-12-16,2016-12-19,2017-03-08,2017-03-09,74,75,126,127,4815.7301,4892.8284,0.01600968044284712,0.08001061087745209,-0.048351010759773994,52,False
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,2017-03-13,2017-03-14,2017-03-22,2017-03-23,129,130,136,137,4927.2019,4936.2589,0.0018381629541097677,0.06834756351739779,-0.008607612146446897,7,False
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,2017-04-25,2017-04-26,2017-09-19,2017-09-20,158,159,260,261,4696.7104,5046.2482,0.0744218336306195,0.1940435206609823,-0.04504492264968751,102,False
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,2017-12-01,2017-12-04,2018-01-30,2018-01-31,308,309,349,350,4921.5942,4974.3453,0.010718295303582703,0.06772237038654638,-0.03213254497498608,41,False
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,2018-02-12,2018-02-13,2018-04-26,2018-04-27,358,359,404,405,4574.791,4548.4216,-0.005764066598889506,-0.031172225194782466,-0.0784472442361216,46,False
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,止损-2%/5日,2018-06-05,2018-06-06,2018-06-11,2018-06-12,430,431,434,435,4562.4415,4515.1243,-0.010371026127129368,-0.48148500811021133,-0.02051664662440056,4,False
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,止损-2%/5日,2018-08-09,2018-08-10,2018-08-15,2018-08-16,476,477,480,481,3979.613,3846.7465,-0.0333867891174342,-0.8822606144831228,-0.0333867891174342,4,False
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,2018-09-13,2018-09-14,2018-10-19,2018-10-22,501,502,521,522,3737.7013,3612.0946,-0.03360533384516318,-0.3499496359816914,-0.13509612656306025,20,False
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,止损-2%/5日,2018-11-30,2018-12-03,2018-12-06,2018-12-07,551,552,555,556,3713.2308,3634.5694,-0.021184085837056,-0.7404838615623398,-0.02571280969249412,4,False
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,2018-12-28,2019-01-02,2019-03-04,2019-03-05,571,572,610,611,3399.4015,4355.3339,0.28120608877768616,3.95888764501344,-0.026213767654341136,39,False
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,2019-05-10,2019-05-13,2019-07-16,2019-07-17,655,656,701,702,4173.6024,4221.5603,0.011490768742130397,0.06459080748304258,-0.06587658592875967,46,False
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,2019-08-12,2019-08-13,2019-09-17,2019-09-18,720,721,745,746,4012.5578,4358.2475,0.08615195524410901,1.3002610752906936,-0.020377006479762372,25,False
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,2019-10-10,2019-10-11,2019-11-20,2019-11-21,757,758,786,787,4322.1604,4257.1086,-0.015050760263316532,-0.1234662928142134,-0.03668422653998116,29,False
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,2020-02-07,2020-02-10,2020-03-05,2020-03-06,836,837,855,856,4434.6278,4764.2397,0.07432684655068456,1.5880184487948399,-0.060852226523301356,19,False
000985.CSI,中证全指,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,2020-03-20,2020-03-23,2020-05-07,2020-05-08,866,867,896,897,4095.3356,4517.6819,0.10312861783537342,1.2806554104236478,-0.02599612386226091,30,False
